experiment,item,condition,sentence,prompt,question_type,options,literal_response,config
dopo,1,DO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The sister mailed the niece the letter..png?raw=true"" width=""292” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the niece receive somethingsomeone.png?raw=true"" width=""300” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,1,DO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The sister mailed the letter the niece..png?raw=true"" width=""292” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the niece receive somethingsomeone.png?raw=true"" width=""300” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,1,PO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The sister mailed the letter to the niece..png?raw=true"" width=""315” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the niece receive somethingsomeone.png?raw=true"" width=""300” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,1,PO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The sister mailed the niece to the letter..png?raw=true"" width=""315” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the niece receive somethingsomeone.png?raw=true"" width=""300” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,2,DO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The mother gave the daughter the candle..png?raw=true"" width=""300” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the daughter receive somethingsomeone.png?raw=true"" width=""322” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,2,DO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The mother gave the candle the daughter..png?raw=true"" width=""300” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the daughter receive somethingsomeone.png?raw=true"" width=""322” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,2,PO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The mother gave the candle to the daughter..png?raw=true"" width=""322” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the daughter receive somethingsomeone.png?raw=true"" width=""322” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,2,PO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The mother gave the daughter to the candle..png?raw=true"" width=""322” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the daughter receive somethingsomeone.png?raw=true"" width=""322” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
dopo,3,DO_plausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The uncle sold the father the truck..png?raw=true"" width=""270” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the father receive somethingsomeone.png?raw=true"" width=""308” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",Yes,
dopo,3,DO_implausible,"<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_The uncle sold the truck the father..png?raw=true"" width=""270” height =""300"">","<img src=""https://sruiz-files.s3.us-east-2.amazonaws.com/comic_Did the father receive somethingsomeone.png?raw=true"" width=""308” height =""300"">",multiple_choice,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">_<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",No,
