experiment,item,condition,sentence,prompt,question_type,options,literal_response,config
dopo,1,DO_plausible,The sister mailed the niece the letter.,Did the niece receive something/someone?,multiple_choice,Yes_No,Yes,
dopo,1,DO_implausible,The sister mailed the letter the niece.,Did the niece receive something/someone?,multiple_choice,Yes_No,No,
dopo,1,PO_plausible,The sister mailed the letter to the niece.,Did the niece receive something/someone?,multiple_choice,Yes_No,Yes,
dopo,1,PO_implausible,The sister mailed the niece to the letter.,Did the niece receive something/someone?,multiple_choice,Yes_No,No,
dopo,2,DO_plausible,The mother gave the daughter the candle.,Did the daughter receive something/someone?,multiple_choice,Yes_No,Yes,
dopo,2,DO_implausible,The mother gave the candle the daughter.,Did the daughter receive something/someone?,multiple_choice,Yes_No,No,
dopo,2,PO_plausible,The mother gave the candle to the daughter.,Did the daughter receive something/someone?,multiple_choice,Yes_No,Yes,
dopo,2,PO_implausible,The mother gave the daughter to the candle.,Did the daughter receive something/someone?,multiple_choice,Yes_No,No,
dopo,3,DO_plausible,The uncle sold the father the truck.,Did the father receive something/someone?,multiple_choice,Yes_No,Yes,
dopo,3,DO_implausible,The uncle sold the truck the father.,Did the father receive something/someone?,multiple_choice,Yes_No,No,
dopo,3,PO_plausible,The uncle sold the truck to the father.,Did the father receive something/someone?,multiple_choice,Yes_No,Yes,
dopo,3,PO_implausible,The uncle sold the father to the truck.,Did the father receive something/someone?,multiple_choice,Yes_No,No,
dopo,4,DO_plausible,The contractor lent the homeowner the saw.,Did the homeowner receive something/someone?,multiple_choice,Yes_No,Yes,
dopo,4,DO_implausible,The contractor lent the saw the homeowner.,Did the homeowner receive something/someone?,multiple_choice,Yes_No,No,
dopo,4,PO_plausible,The contractor lent the saw to the homeowner.,Did the homeowner receive something/someone?,multiple_choice,Yes_No,Yes,
dopo,4,PO_implausible,The contractor lent the homeowner to the saw.,Did the homeowner receive something/someone?,multiple_choice,Yes_No,No,
dopo,5,DO_plausible,The sailing club leased the man the boat.,Did the man receive something/someone?,multiple_choice,Yes_No,Yes,
dopo,5,DO_implausible,The sailing club leased the boat the man.,Did the man receive something/someone?,multiple_choice,Yes_No,No,
dopo,5,PO_plausible,The sailing club leased the boat to the man.,Did the man receive something/someone?,multiple_choice,Yes_No,Yes,
dopo,5,PO_implausible,The sailing club leased the man to the boat.,Did the man receive something/someone?,multiple_choice,Yes_No,No,
dopo,6,DO_plausible,The girl tossed the boy the apple.,Did the apple receive something/someone?,multiple_choice,Yes_No,No,
dopo,6,DO_implausible,The girl tossed the apple the boy.,Did the apple receive something/someone?,multiple_choice,Yes_No,Yes,
dopo,6,PO_plausible,The girl tossed the apple to the boy.,Did the apple receive something/someone?,multiple_choice,Yes_No,No,
dopo,6,PO_implausible,The girl tossed the boy to the apple.,Did the apple receive something/someone?,multiple_choice,Yes_No,Yes,
dopo,7,DO_plausible,The daughter passed the mother the bowl.,Did the bowl receive something/someone?,multiple_choice,Yes_No,No,
dopo,7,DO_implausible,The daughter passed the bowl the mother.,Did the bowl receive something/someone?,multiple_choice,Yes_No,Yes,
dopo,7,PO_plausible,The daughter passed the bowl to the mother.,Did the bowl receive something/someone?,multiple_choice,Yes_No,No,
dopo,7,PO_implausible,The daughter passed the mother to the bowl.,Did the bowl receive something/someone?,multiple_choice,Yes_No,Yes,
dopo,8,DO_plausible,The scuba instructor rented the tourist the equipment.,Did the equipment receive something/someone?,multiple_choice,Yes_No,No,
dopo,8,DO_implausible,The scuba instructor rented the equipment the tourist.,Did the equipment receive something/someone?,multiple_choice,Yes_No,Yes,
dopo,8,PO_plausible,The scuba instructor rented the equipment to the tourist.,Did the equipment receive something/someone?,multiple_choice,Yes_No,No,
dopo,8,PO_implausible,The scuba instructor rented the tourist to the equipment.,Did the equipment receive something/someone?,multiple_choice,Yes_No,Yes,
dopo,9,DO_plausible,The boy handed the girl the pencil.,Did the pencil receive something/someone?,multiple_choice,Yes_No,No,
dopo,9,DO_implausible,The boy handed the pencil the girl.,Did the pencil receive something/someone?,multiple_choice,Yes_No,Yes,
dopo,9,PO_plausible,The boy handed the pencil to the girl.,Did the pencil receive something/someone?,multiple_choice,Yes_No,No,
dopo,9,PO_implausible,The boy handed the girl to the pencil.,Did the pencil receive something/someone?,multiple_choice,Yes_No,Yes,
